724	30		
605.61	796.60	1479	96
681.80	1025.20	1479	44
605.61	1152.21	1479	5
605.61	1253.81	1479	53
656.41	1736.41	1479	72
808.81	2041.19	1479	43
726.25	1825.29	1479	90
758.01	1863.40	1479	45
783.40	1736.41	1479	81
808.81	1736.41	1479	46
758.01	1101.41	1479	46
758.01	796.60	1479	100
758.01	821.99	1479	46
872.30	733.11	1479	56
885.00	2066.60	1479	7
872.30	1787.21	1479	14
935.80	1965.00	1479	22
910.39	707.70	1479	64
935.80	1812.60	1479	72
935.80	1761.80	1479	58
935.80	1177.60	1479	98
986.60	1380.80	1479	82
1011.99	898.20	1479	98
986.60	1203.01	1479	16
986.60	1152.21	1479	9
986.60	821.99	1479	35
1011.99	796.60	1479	3
986.60	923.59	1479	55
1062.79	1126.80	1479	93
1113.59	1431.60	1479	47
1139.00	1482.40	1479	14
1189.80	949.00	1479	41
1189.80	1253.81	1479	53
1240.61	1507.79	1479	18
1291.41	1355.39	1479	56
1266.00	1253.81	1479	89
1189.80	1101.41	1479	27
1189.80	1380.80	1479	62
1113.59	1152.21	1479	32
1113.59	821.99	1479	27
1189.80	707.70	1479	22
1151.70	733.11	1479	20
1113.59	923.59	1479	19
1113.59	1101.41	1479	85
1113.59	1228.40	1479	80
1113.59	949.00	1479	51
1113.59	1406.19	1479	32
1139.00	860.10	1479	89
1189.80	733.11	1479	54
1240.61	1711.00	1479	99
1266.00	1736.41	1479	23
1291.41	1863.40	1479	43
1278.69	2047.56	1479	73
1285.06	2053.91	1479	2
1291.41	2041.19	1479	51
1329.49	1958.65	1479	35
1291.41	1965.00	1479	81
1323.14	1952.30	1479	41
1316.80	1787.21	1479	31
1342.21	1863.40	1479	92
1329.49	1945.96	1479	56
1335.86	1952.30	1479	58
1164.39	2244.39	1479	6
1164.39	2091.99	1479	26
1189.80	1584.00	1479	9
1215.20	1711.00	1479	17
1164.39	1634.80	1479	21
1164.39	1787.21	1479	25
1189.80	1863.40	1479	41
1189.80	2244.39	1479	93
1266.00	2168.20	1479	52
1278.69	2060.25	1479	99
1272.34	2053.91	1479	67
1240.61	2041.19	1479	22
1227.89	1958.65	1479	58
1234.26	1952.30	1479	44
1240.61	1965.00	1479	48
1291.41	1609.39	1479	72
