4461	20		
5639	6909	14025	14
5652	6142	14025	88
5654	6101	14025	47
5659	6910	14025	12
5659	6920	14025	82
5661	6182	14025	96
5663	6830	14025	88
5669	6213	14025	13
5670	6425	14025	87
5671	6870	14025	41
5673	6132	14025	23
5682	6840	14025	45
5690	6891	14025	18
5694	6801	14025	9
5698	6265	14025	4
5698	6952	14025	53
5701	6184	14025	24
5701	6407	14025	19
5712	6154	14025	50
5716	6296	14025	38
5720	6438	14025	35
5722	6397	14025	65
5722	6873	14025	28
5730	6458	14025	8
5731	6893	14025	86
5736	6317	14025	82
5737	6064	14025	57
5738	6034	14025	30
5738	6267	14025	95
5740	5984	14025	62
5741	6206	14025	71
5741	6418	14025	41
5744	6368	14025	65
5744	6823	14025	33
5746	6783	14025	84
5748	6490	14025	80
5748	6965	14025	19
5749	6944	14025	59
5750	6227	14025	42
5756	6308	14025	27
5758	6733	14025	16
5761	6440	14025	9
5762	6187	14025	21
5763	6389	14025	48
5774	6127	14025	54
5776	6319	14025	77
5776	6774	14025	10
5777	6289	14025	78
5779	6026	14025	28
5780	6916	14025	44
5783	6168	14025	48
5784	6137	14025	56
5788	6744	14025	67
5789	6249	14025	100
5790	5996	14025	3
5797	6077	14025	97
5799	6482	14025	77
5799	6957	14025	98
5800	6472	14025	52
5802	6411	14025	77
5804	6836	14025	48
5805	6350	14025	56
5806	6563	14025	56
5808	6047	14025	15
5810	6229	14025	87
5813	6159	14025	18
5817	6311	14025	23
5818	6988	14025	47
5820	6472	14025	85
5822	6200	14025	69
5822	6432	14025	44
5822	6877	14025	11
5825	6594	14025	44
5827	6089	14025	8
5829	6726	14025	14
5833	6392	14025	99
5833	6635	14025	6
5838	6281	14025	59
5840	6948	14025	22
5841	6686	14025	48
5842	6665	14025	93
5844	6160	14025	10
5846	6807	14025	77
5847	6544	14025	2
5847	6999	14025	27
5848	6049	14025	32
5850	6251	14025	61
5851	6919	14025	11
5853	6413	14025	71
5855	6120	14025	58
5859	6272	14025	12
5860	6009	14025	13
5860	6484	14025	74
5861	6687	14025	15
5863	6869	14025	90
5864	6616	14025	99
5867	6090	14025	88
5867	7010	14025	43
5872	6909	14025	27
5873	6171	14025	24
5874	6151	14025	23
5876	6333	14025	5
5878	6768	14025	5
5879	6738	14025	42
5879	6970	14025	82
5884	6394	14025	94
5890	6253	14025	51
5890	6718	14025	78
5891	6000	14025	43
5892	6668	14025	29
5893	6880	14025	4
5895	6840	14025	13
5896	6122	14025	94
5897	6324	14025	87
5898	6304	14025	67
5900	6496	14025	99
5902	5971	14025	60
5902	6911	14025	36
5905	6365	14025	77
5905	6618	14025	3
5906	7042	14025	46
5908	6759	14025	69
5908	7002	14025	96
