724	125		
605.61	796.60	355	96
681.80	1025.20	355	44
605.61	1152.21	355	5
605.61	1253.81	355	53
656.41	1736.41	355	72
808.81	2041.19	355	43
726.25	1825.29	355	90
758.01	1863.40	355	45
783.40	1736.41	355	81
808.81	1736.41	355	46
758.01	1101.41	355	46
758.01	796.60	355	100
758.01	821.99	355	46
872.30	733.11	355	56
885.00	2066.60	355	7
872.30	1787.21	355	14
935.80	1965.00	355	22
910.39	707.70	355	64
935.80	1812.60	355	72
935.80	1761.80	355	58
935.80	1177.60	355	98
986.60	1380.80	355	82
1011.99	898.20	355	98
986.60	1203.01	355	16
986.60	1152.21	355	9
986.60	821.99	355	35
1011.99	796.60	355	3
986.60	923.59	355	55
1062.79	1126.80	355	93
1113.59	1431.60	355	47
1139.00	1482.40	355	14
1189.80	949.00	355	41
1189.80	1253.81	355	53
1240.61	1507.79	355	18
1291.41	1355.39	355	56
1266.00	1253.81	355	89
1189.80	1101.41	355	27
1189.80	1380.80	355	62
1113.59	1152.21	355	32
1113.59	821.99	355	27
1189.80	707.70	355	22
1151.70	733.11	355	20
1113.59	923.59	355	19
1113.59	1101.41	355	85
1113.59	1228.40	355	80
1113.59	949.00	355	51
1113.59	1406.19	355	32
1139.00	860.10	355	89
1189.80	733.11	355	54
1240.61	1711.00	355	99
1266.00	1736.41	355	23
1291.41	1863.40	355	43
1278.69	2047.56	355	73
1285.06	2053.91	355	2
1291.41	2041.19	355	51
1329.49	1958.65	355	35
1291.41	1965.00	355	81
1323.14	1952.30	355	41
1316.80	1787.21	355	31
1342.21	1863.40	355	92
1329.49	1945.96	355	56
1335.86	1952.30	355	58
1164.39	2244.39	355	6
1164.39	2091.99	355	26
1189.80	1584.00	355	9
1215.20	1711.00	355	17
1164.39	1634.80	355	21
1164.39	1787.21	355	25
1189.80	1863.40	355	41
1189.80	2244.39	355	93
1266.00	2168.20	355	52
1278.69	2060.25	355	99
1272.34	2053.91	355	67
1240.61	2041.19	355	22
1227.89	1958.65	355	58
1234.26	1952.30	355	44
1240.61	1965.00	355	48
1291.41	1609.39	355	72
1291.41	1076.00	355	70
1266.00	707.70	355	28
1189.80	847.40	355	58
1139.00	1533.20	355	97
1113.59	2028.50	355	87
1088.20	2244.39	355	14
1088.20	2079.30	355	27
999.30	2180.90	355	33
1011.99	1736.41	355	97
1062.79	1685.61	355	92
1037.40	1634.80	355	70
1113.59	1863.40	355	51
1062.79	771.19	355	73
1062.79	821.99	355	71
1024.71	1279.20	355	53
986.60	1507.79	355	90
1037.40	872.79	355	33
1037.40	1482.40	355	17
1011.99	1609.39	355	93
961.19	1711.00	355	57
999.30	733.11	355	7
1011.99	1901.50	355	24
1037.40	1914.20	355	89
1062.79	1736.41	355	58
1062.79	1609.39	355	90
1240.61	2244.39	355	42
1342.21	1939.61	355	13
1291.41	2168.20	355	33
