instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,181975.2279,29,2,0.4280,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,183718.2952,20,0,0.1996,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,181975.2279,38,2,0.3022,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,182462.6221,22,2,0.2084,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,181984.1862,22,1,0.2598,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,97416.2488,36,1,0.8555,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,91522.8905,70,9,1.9743,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,95117.0653,27,1,0.8486,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,92101.5222,29,1,0.8710,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,90990.0809,37,3,1.0863,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9957.7397,43,4,1.4793,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,0.7461,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,11183.0686,20,0,1.2559,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9957.7397,35,6,1.5567,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9957.7397,33,4,0.9020,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,57347.4355,78,11,60.7968,OK
