instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,281488.0897,184919.7691,184290.5904,46,2,0.5617,OK
lin318_005.txt,lin318,5,2,43,325901.6356,182619.6742,182619.6742,20,0,0.2396,OK
lin318_005.txt,lin318,5,3,44,448605.5520,183300.5117,182884.4448,42,2,0.3600,OK
lin318_005.txt,lin318,5,4,45,283053.0569,183843.5810,183843.5810,20,0,0.1705,OK
lin318_005.txt,lin318,5,5,46,373554.5789,181992.4091,181992.4091,20,0,0.1835,OK
lin318_015.txt,lin318,15,1,42,177791.4589,95655.5492,95655.5492,20,0,0.9494,OK
lin318_015.txt,lin318,15,2,43,167918.8221,99752.2760,99752.2760,20,0,0.8584,OK
lin318_015.txt,lin318,15,3,44,188413.4980,94207.0186,94207.0186,20,0,0.8877,OK
lin318_015.txt,lin318,15,4,45,218717.7772,96159.5394,96159.5394,20,0,0.9896,OK
lin318_015.txt,lin318,15,5,46,157368.7902,93545.6193,93545.6193,20,0,0.5710,OK
ali535_005.txt,ali535,5,1,42,24380.9594,9970.5369,9970.5369,20,0,0.8840,OK
ali535_005.txt,ali535,5,2,43,13951.9598,9962.2265,9957.7516,28,1,1.1527,OK
ali535_005.txt,ali535,5,3,44,17831.3476,11272.0434,11212.2521,40,2,3.4062,OK
ali535_005.txt,ali535,5,4,45,16461.5193,10006.4406,10006.4406,20,0,0.8577,OK
ali535_005.txt,ali535,5,5,46,14137.1945,10008.2633,10004.4554,31,1,1.3746,OK
