instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180359.4443,47,7,5.5502,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,31,4,5.3154,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,36,3,3.8539,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,46,6,4.8507,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,33,3,2.7648,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89587.8326,78,13,8.2828,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90509.8694,53,6,6.6116,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88939.5716,86,14,7.9284,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,89944.0093,31,4,3.0540,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.5245,55,8,4.9357,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,50,6,7.4853,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,2.9825,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,23,2,5.5440,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,37,3,7.9273,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,36,4,6.0979,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,57043.7991,38,9,66.6891,OK
