instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,partial_opt_cost,partial_opt_improved,ils_iterations,ils_improvements,time_partial_opt_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,181992.4091,181992.4091,nao,20,0,0.0000,0.1843,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180282.3788,180282.3788,nao,38,5,0.0000,0.3339,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,181975.2279,181975.2279,nao,31,2,0.0000,0.2748,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,181822.4882,181822.4882,nao,27,3,0.0000,0.2203,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180421.3740,180421.3740,nao,46,6,0.0000,0.3810,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,88922.7483,88922.7483,nao,117,15,0.2357,2.6449,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90910.4629,90910.4629,nao,30,4,0.1406,0.6806,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,90640.9017,90640.9017,nao,61,9,0.2140,1.3258,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,90027.1875,90027.1875,nao,42,5,0.1476,0.8398,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.3073,89237.3073,nao,38,6,0.1329,0.7563,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9990.6100,9957.7415,9957.7415,nao,31,3,0.2042,1.6469,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,9956.7698,nao,20,0,0.2240,1.0701,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.3410,9956.7698,9956.7698,nao,30,3,0.2391,1.4969,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.3897,9958.5021,9958.5021,nao,52,5,0.2911,2.9923,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.3897,9958.5021,9958.5021,nao,32,4,0.2215,1.5038,OK
u724_075.txt,u724,75,1,42,62243.5876,60539.4132,55866.4880,55796.2249,sim,108,18,1.9166,35.6977,OK
u724_075.txt,u724,75,2,43,62479.3560,60347.3992,56043.9396,55972.3385,sim,130,20,0.1391,42.6200,OK
u724_075.txt,u724,75,3,44,60482.0069,59039.7477,55939.3335,55899.5605,sim,81,14,0.7282,27.4091,OK
u724_075.txt,u724,75,4,45,61794.8699,60453.7791,56753.2979,56448.8632,sim,57,14,0.5248,19.5965,OK
u724_075.txt,u724,75,5,46,62443.5591,59416.8697,56805.6473,56626.6898,sim,58,12,0.6313,22.5660,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2151241.2576,2151241.2576,nao,35,8,0.2049,28.7249,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2152440.5094,2152440.5094,nao,78,13,0.2150,59.8905,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2149644.8122,2149644.8122,nao,80,10,0.2320,67.9756,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2153453.1424,2153453.1424,nao,39,6,0.2197,35.0858,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2154736.5857,2154736.5857,nao,35,12,0.2216,27.8044,OK
