instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
ali535_005.txt,ali535,,5,1,11740.1206,11188.0596,9956.7698,76,7,iter_limit,6,1,0.9699,1,0.0207,0.0826,8.3781,8.4814,OK
ali535_025.txt,ali535,,25,1,4715.0947,4041.6407,3706.3974,178,12,iter_limit,18,4,54.1354,3,0.0308,0.0881,46.9872,47.1062,OK
ali535_050.txt,ali535,,50,1,2843.8117,2671.6856,2521.9973,105,6,iter_limit,11,2,51.1052,2,0.0424,0.1947,19.2099,19.4471,OK
ali535_100.txt,ali535,,100,1,2072.2819,1868.9697,1454.7379,163,14,iter_limit,20,6,93.9470,4,0.0527,0.4940,187.9336,188.4804,OK
ali535_150.txt,ali535,,150,1,1737.5871,1194.3287,1054.2575,149,22,iter_limit,18,5,54.3353,5,0.0636,2.1075,558.6228,560.7938,OK
fnl4461_0020.txt,fnl4461,,20,1,1340362.4968,1338875.2524,1285554.4729,104,11,iter_limit,10,2,1770.6606,2,3.7296,1.2926,327.7942,332.8165,OK
fnl4461_0100.txt,fnl4461,,100,1,584133.4859,583097.4381,555598.5109,164,22,iter_limit,20,9,10531.6098,8,3.7819,4.1677,1113.5005,1121.4501,OK
fnl4461_0250.txt,fnl4461,,250,1,367539.0797,363580.4682,347351.7877,216,29,iter_limit,27,11,8594.0405,8,6.2781,22.8562,2458.7712,2487.9055,OK
fnl4461_0500.txt,fnl4461,,500,1,253413.5326,247703.5668,229470.0667,295,63,time_limit,36,19,9754.4332,15,11.6660,94.2888,3600.3701,3706.3249,OK
fnl4461_1000.txt,fnl4461,,1000,1,179178.1023,163018.7122,152410.7041,165,78,time_limit,20,15,3327.2373,13,25.1495,547.7926,3617.8843,4190.8264,OK
lin318_005.txt,lin318,,5,1,195296.6425,195008.9273,180281.2051,118,9,iter_limit,7,2,25.4606,2,0.0042,0.0073,16.6201,16.6316,OK
lin318_015.txt,lin318,,15,1,102704.9234,92691.7427,88901.5631,142,10,iter_limit,13,3,189.5843,2,0.0068,0.0083,21.7572,21.7723,OK
lin318_040.txt,lin318,,40,1,54226.6386,51031.4757,48315.1338,85,8,iter_limit,9,3,907.4168,3,0.0085,0.0743,25.3805,25.4633,OK
lin318_070.txt,lin318,,70,1,38789.7833,35048.7721,32330.7445,219,19,iter_limit,27,8,1047.3478,2,0.0160,0.1418,384.4676,384.6255,OK
lin318_100.txt,lin318,,100,1,34864.9719,25155.3733,22955.1010,249,31,iter_limit,31,4,255.4779,3,0.0218,0.4707,751.5249,752.0175,OK
p3038_1000.dat,p3038,,1000,1,112679.3992,93474.1301,87204.1025,263,63,time_limit,32,20,4126.5517,16,20.1203,456.0712,3612.3655,4088.5570,OK
p3038_600.dat,p3038,,600,1,144744.7618,134360.9407,124876.9009,237,44,iter_limit,29,18,5416.0188,16,6.4286,123.8516,2703.5210,2833.8013,OK
p3038_700.dat,p3038,,700,1,135970.0383,121479.2920,111650.6887,180,42,iter_limit,22,13,5960.4305,13,9.2930,200.1623,2399.0672,2608.5226,OK
p3038_800.dat,p3038,,800,1,128231.1873,111774.4530,101295.2420,279,46,time_limit,34,18,7157.5325,15,12.0783,302.1512,3614.2445,3928.4741,OK
p3038_900.dat,p3038,,900,1,118667.8270,102129.2794,93192.1448,247,56,time_limit,30,19,5291.1678,17,13.2641,329.7413,3611.9922,3954.9975,OK
pr2392_020.txt,pr2392,,20,1,2288789.5421,2288178.2719,2232864.2612,100,11,iter_limit,9,2,5614.9367,2,0.4190,0.2737,276.1557,276.8484,OK
pr2392_075.txt,pr2392,,75,1,1188819.2176,1175252.5715,1103257.8174,141,18,iter_limit,17,8,29938.2760,8,0.8726,2.8562,319.6610,323.3898,OK
pr2392_150.txt,pr2392,,150,1,811373.1118,782959.5944,724498.2912,116,21,iter_limit,14,7,26620.0202,7,1.0460,11.7179,588.0515,600.8155,OK
pr2392_300.txt,pr2392,,300,1,531114.0161,508125.9963,464293.8011,140,25,iter_limit,17,9,25405.5768,9,1.7463,23.8972,951.7494,977.3930,OK
pr2392_500.txt,pr2392,,500,1,380456.7473,349676.8895,320054.7120,381,47,iter_limit,47,23,19361.2466,22,3.5470,59.0947,3406.0548,3468.6966,OK
rl1304_010.txt,rl1304,,10,1,2228147.8343,2228147.8343,2147730.5835,159,15,iter_limit,14,2,1591.4815,1,0.1747,0.0418,154.2976,154.5141,OK
rl1304_050.txt,rl1304,,50,1,884098.5801,875108.0702,814005.8949,127,18,iter_limit,13,7,6188.6858,7,0.1888,0.3418,93.6519,94.1825,OK
rl1304_100.txt,rl1304,,100,1,552067.7206,546971.2417,500117.4711,172,17,iter_limit,21,7,32494.1581,7,0.2401,0.8704,692.3470,693.4575,OK
rl1304_200.txt,rl1304,,200,1,347628.2078,324167.7051,279808.2179,156,27,iter_limit,19,11,16782.4186,11,0.4153,5.8658,801.7014,807.9825,OK
rl1304_300.txt,rl1304,,300,1,264435.7343,212592.3863,192525.5755,228,24,iter_limit,28,10,9087.5145,10,0.7977,20.9190,1027.3822,1049.0989,OK
u724_010.txt,u724,,10,1,184081.1637,184081.1637,181881.9976,180,11,iter_limit,15,6,707.6493,3,0.0316,0.0134,29.7886,29.8337,OK
u724_030.txt,u724,,30,1,100502.0860,100502.0860,95469.6337,134,11,iter_limit,14,6,2635.9060,6,0.0436,0.0137,28.3781,28.4354,OK
u724_075.txt,u724,,75,1,61211.8085,59910.9815,55550.7323,124,9,iter_limit,15,4,2353.6978,3,0.0699,0.2027,59.0738,59.3464,OK
u724_125.txt,u724,,125,1,43189.0280,42384.6966,39486.8287,100,11,iter_limit,12,5,1919.8389,4,0.0682,0.4908,68.4195,68.9786,OK
