instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,181992.4091,20,0,0.5737,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,183718.2952,20,0,0.6774,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,181992.4091,20,0,0.5265,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,182733.3937,20,0,0.5358,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,181992.4091,20,0,0.5317,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,97435.2775,26,1,1.6646,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,93060.3002,55,3,3.0977,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,95792.4318,20,0,0.8865,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,92908.6479,21,1,0.7619,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,94161.0547,46,2,1.7407,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9985.2059,20,0,1.6632,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,1.7001,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,11172.3980,34,2,2.8514,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,10004.4554,20,0,1.4288,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,10004.4554,20,0,1.7387,OK
