instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,10,279476.9165,187100.4323,187100.4323,20,0,0.1415,OK
lin318_005.txt,lin318,5,2,11,297446.7806,184012.3605,182608.1080,66,5,0.5070,OK
lin318_005.txt,lin318,5,3,12,396011.7601,180565.8975,180565.8975,20,0,0.1334,OK
lin318_005.txt,lin318,5,4,13,349826.0030,181983.4508,181983.4508,20,0,0.1379,OK
lin318_005.txt,lin318,5,5,14,293932.5336,187202.1878,187202.1878,20,0,0.1583,OK
lin318_015.txt,lin318,15,1,10,198220.9129,91627.9071,91627.9071,20,0,0.4208,OK
lin318_015.txt,lin318,15,2,11,168646.8535,102279.8420,99019.7641,40,1,1.1590,OK
lin318_015.txt,lin318,15,3,12,184176.0004,97176.4772,96946.1023,49,2,1.2098,OK
lin318_015.txt,lin318,15,4,13,210097.0905,99287.9644,98711.8768,35,1,0.7981,OK
lin318_015.txt,lin318,15,5,14,141648.0437,91995.0899,91995.0899,20,0,0.4415,OK
ali535_005.txt,ali535,5,1,10,12195.0957,10005.9981,10005.9981,20,0,0.7063,OK
ali535_005.txt,ali535,5,2,11,22852.7594,10216.4321,10216.4321,20,0,0.9240,OK
ali535_005.txt,ali535,5,3,12,18662.7197,11226.3088,11226.3088,20,0,0.4541,OK
ali535_005.txt,ali535,5,4,13,23225.9096,11199.2823,11185.4726,26,1,2.0985,OK
ali535_005.txt,ali535,5,5,14,16564.7048,11245.1631,11230.3337,32,1,1.4552,OK
