instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180359.4443,47,7,0.9754,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,31,4,0.7312,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,36,3,0.9822,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,46,6,0.7437,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,33,3,0.8404,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89587.8326,78,13,10.1801,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90509.8694,53,6,7.2248,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88939.5716,86,14,11.8167,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,89944.0093,31,4,3.0384,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.5245,55,8,5.4088,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,50,6,6.1549,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,1.7016,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,23,2,3.3674,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,37,3,5.1861,OK
