instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,time_ils_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180281.2051,76,10,76,12,12,25,9,2,0.0000,2.5256,2.5494,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,31,4,31,10,10,6,3,2,0.0000,0.5758,0.5971,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,36,3,36,11,11,7,4,1,0.0000,0.8012,0.8273,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,46,6,46,10,10,16,7,3,0.0000,1.5932,1.6178,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,33,3,33,11,11,5,4,2,0.0000,0.7385,0.7740,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89587.8326,78,13,78,12,12,14,12,0,0.0000,13.0017,13.1698,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,89118.3678,71,8,71,12,12,22,11,6,1025.3697,14.5502,14.6862,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88939.5716,86,14,86,12,12,26,12,1,0.0000,14.3052,14.4111,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,89944.0093,31,4,31,12,12,5,3,2,0.0000,4.5488,4.6416,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.5245,55,8,55,12,12,10,7,2,17.6382,8.7295,8.7977,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,50,6,50,12,12,11,6,0,0.0000,10.0698,10.3004,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,20,4,4,5,2,1,0.0000,2.9167,3.1064,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,23,2,23,8,8,4,2,1,0.0000,4.7011,5.0023,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,37,3,37,7,7,7,5,1,0.0000,8.4993,8.6238,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,36,4,36,8,8,6,4,1,0.0000,6.5945,6.6923,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,56171.6522,64,11,64,2,2,15,12,7,209.9616,121.2212,129.3060,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,57043.7991,38,9,38,4,4,9,6,0,0.0000,69.3071,75.9369,OK
u724_075.txt,u724,75,3,44,60482.0069,58419.6946,55651.5166,65,17,65,3,3,23,12,8,322.0270,120.0421,128.9778,OK
u724_075.txt,u724,75,4,45,61794.8699,59861.3679,55490.6846,58,17,58,1,1,21,11,4,735.4085,120.4912,126.0899,OK
u724_075.txt,u724,75,5,46,62443.5591,58607.1087,55722.3060,62,18,62,2,2,21,12,5,1441.6631,122.3531,131.6494,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2152089.5937,69,16,69,12,12,14,11,3,0.0000,305.1468,309.1530,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2148934.9906,98,22,98,12,12,26,16,3,0.0000,300.4556,302.3167,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2147460.6232,67,9,67,12,12,12,10,0,0.0000,300.6875,305.9778,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2155901.7426,67,10,67,12,12,12,9,0,0.0000,300.5900,302.9685,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2149489.6336,53,19,53,12,12,17,7,2,0.0000,178.4632,182.9304,OK
