instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s,status
lin318_005.txt,lin318,5,1,10,279476.9165,187100.4323,182884.4448,305,3,0.3340,OK
lin318_005.txt,lin318,5,2,11,297446.7806,184012.3605,182608.1080,246,5,0.3968,OK
lin318_005.txt,lin318,5,3,12,396011.7601,180565.8975,180565.8975,200,0,0.2770,OK
lin318_005.txt,lin318,5,4,13,349826.0030,181983.4508,181983.4508,200,0,0.2888,OK
lin318_005.txt,lin318,5,5,14,293932.5336,187202.1878,182884.4448,313,3,0.4487,OK
lin318_015.txt,lin318,15,1,10,198220.9129,91627.9071,91627.9071,200,0,0.3743,OK
lin318_015.txt,lin318,15,2,11,168646.8535,104348.0645,92088.8938,448,9,1.0079,OK
lin318_015.txt,lin318,15,3,12,184176.0004,97176.4772,96946.1023,229,2,0.5991,OK
lin318_015.txt,lin318,15,4,13,210097.0905,99287.9644,97844.8307,532,4,0.8691,OK
lin318_015.txt,lin318,15,5,14,141648.0437,91995.0899,91995.0899,200,0,0.3048,OK
ali535_005.txt,ali535,5,1,10,12195.0957,10005.9981,10005.9324,318,1,2.9631,OK
ali535_005.txt,ali535,5,2,11,22852.7594,10216.4321,10208.2583,367,2,2.2397,OK
ali535_005.txt,ali535,5,3,12,18662.7197,11226.3088,11226.3088,200,0,0.8899,OK
ali535_005.txt,ali535,5,4,13,23225.9096,11201.0249,11168.0532,482,7,4.4777,OK
ali535_005.txt,ali535,5,5,14,16564.7048,11282.6135,11199.1247,217,2,2.5047,OK
