instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_destroy_repair_calls,cs_destroy_repair_improvements,cs_ils_promotions,time_ils_s,time_total_s,status
ali535_025.txt,ali535,25,1,42,0.0303s),4123.9750,3725.3682,82,7,82,12,12,20,12,6,71.5473,2,0,3,19.5882,19.7071,OK
ali535_025.txt,ali535,25,2,43,0.0230s),3849.8833,3699.7175,197,14,197,12,12,33,37,15,245.5817,6,0,9,66.3383,66.4061,OK
ali535_025.txt,ali535,25,3,44,0.0273s),4046.8700,3702.4855,240,22,240,12,12,46,45,15,146.3874,7,0,7,49.0508,49.1099,OK
ali535_025.txt,ali535,25,4,45,0.0191s),4088.9498,3704.3851,92,9,92,12,12,21,16,7,234.2769,2,0,4,17.1658,17.1908,OK
ali535_025.txt,ali535,25,5,46,0.0241s),3947.0768,3702.3839,151,11,151,12,12,27,28,14,264.4586,3,0,7,33.1210,33.1565,OK
ali535_150.txt,ali535,150,1,42,0.0675s),1324.0887,1048.3250,136,22,136,3,3,37,27,10,195.2012,3,0,7,588.5384,589.5802,OK
ali535_150.txt,ali535,150,2,43,0.0858s),1319.0538,1049.5293,203,31,203,3,3,48,40,10,164.4319,4,0,9,516.9203,518.2648,OK
ali535_150.txt,ali535,150,3,44,0.0836s),1213.6525,1051.5568,210,29,210,5,5,54,42,18,70.3278,5,0,9,723.4839,724.7811,OK
ali535_150.txt,ali535,150,4,45,0.0759s),1369.8653,1042.2833,239,33,239,7,7,53,47,11,143.9941,6,0,7,516.6774,517.5857,OK
ali535_150.txt,ali535,150,5,46,0.0708s),1233.1170,1049.5095,245,25,245,7,7,52,49,14,72.7711,9,0,10,1002.1336,1003.0845,OK
fnl4461_0020.txt,fnl4461,20,1,42,3.4890s),1317568.9501,1285586.8802,154,15,154,12,12,29,26,14,9147.9131,3,0,6,645.8127,652.7735,OK
fnl4461_0020.txt,fnl4461,20,2,43,4.3180s),1316982.8485,1284479.7927,131,14,131,12,12,19,22,9,7254.8691,3,0,6,856.6369,861.4065,OK
fnl4461_0020.txt,fnl4461,20,3,44,3.9697s),1301937.6177,1283876.8270,174,16,174,12,12,28,32,11,8609.8535,4,0,7,534.6656,539.6030,OK
fnl4461_0020.txt,fnl4461,20,5,46,2.8770s),1301489.5106,1283640.2757,140,12,140,12,12,25,26,13,11945.5546,3,0,7,603.4657,606.8520,OK
lin318_015.txt,lin318,15,1,42,0.0069s),102285.2666,88901.5631,106,7,106,12,12,14,19,6,8416.7013,4,0,3,106.7431,106.7619,OK
lin318_015.txt,lin318,15,2,43,0.0056s),97073.0498,88901.5631,83,6,83,12,12,18,14,6,3057.7699,2,0,2,31.7636,31.7712,OK
lin318_015.txt,lin318,15,3,44,0.0103s),95792.4318,88901.5631,112,7,112,12,12,20,20,7,5273.3971,3,0,3,87.5518,87.5645,OK
lin318_015.txt,lin318,15,4,45,0.0100s),93990.5959,88901.5631,78,5,78,12,12,15,12,5,3486.1908,2,0,1,54.6748,54.6886,OK
lin318_015.txt,lin318,15,5,46,0.0058s),101279.3751,88901.5631,139,10,139,12,12,24,23,7,2262.8940,3,0,3,82.3433,82.3512,OK
lin318_100.txt,lin318,100,1,42,0.0329s),27392.2161,23083.0406,187,29,187,6,6,43,37,6,802.6055,5,0,4,224.2022,224.5055,OK
lin318_100.txt,lin318,100,2,43,0.0282s),25106.4471,23154.3835,204,17,204,6,6,45,40,18,168.1433,5,0,3,197.7120,198.0179,OK
lin318_100.txt,lin318,100,3,44,0.0276s),25435.3676,23156.9529,216,23,216,7,7,41,43,1,0.0000,6,0,1,230.4055,230.6014,OK
lin318_100.txt,lin318,100,4,45,0.0415s),25910.1239,23262.6202,167,16,167,7,7,34,33,10,429.5076,6,0,4,134.2429,134.5792,OK
lin318_100.txt,lin318,100,5,46,0.0277s),26084.1398,23234.0817,134,18,134,5,5,27,26,5,143.1251,4,0,3,143.7772,144.0822,OK
