instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,partial_opt_cost,partial_opt_improved,ils_iterations,ils_improvements,time_partial_opt_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180359.4443,180359.4443,nao,47,7,0.5473,1.5281,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,180298.4429,nao,31,4,0.5795,1.7200,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,180623.3198,nao,36,3,0.7895,1.9260,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,180359.4443,nao,46,6,0.5980,1.6538,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,180282.3788,nao,33,3,0.5334,1.6299,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89587.8326,89587.8326,nao,78,13,0.3786,12.8692,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90509.8694,90509.8694,nao,53,6,0.4055,11.1415,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,88939.5716,88939.5716,nao,86,14,0.3885,12.8930,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,89944.0093,89944.0093,nao,31,4,0.4242,5.1884,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89237.5245,89237.5245,nao,55,8,0.4804,8.4161,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,9956.7698,nao,50,6,0.9343,12.5772,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,9956.7698,nao,20,0,0.7054,2.1493,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,9956.7698,nao,23,2,0.8129,5.6376,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,9956.7698,nao,37,3,0.6658,5.7408,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,9956.7698,nao,36,4,0.8276,5.0417,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,56104.8363,56088.7733,sim,68,14,0.1572,107.8806,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,57043.7991,57043.7991,nao,38,9,0.1075,65.4886,OK
u724_075.txt,u724,75,3,44,60482.0069,58419.6946,55909.3939,55909.3939,nao,90,18,0.2811,159.8625,OK
u724_075.txt,u724,75,4,45,61794.8699,59861.3679,55716.1728,55692.8246,sim,101,19,0.2061,168.1646,OK
u724_075.txt,u724,75,5,46,62443.5591,58607.1087,55392.3896,55352.7942,sim,149,21,0.1536,272.1875,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2147640.4962,2147640.4962,nao,121,19,0.7806,502.6215,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2148063.5431,2148063.5431,nao,141,20,0.6087,508.9570,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2147176.3468,2147176.3468,nao,94,11,1.1322,478.7924,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2155901.7426,2155901.7426,nao,86,10,0.7773,441.0360,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2148407.3081,2148407.3081,nao,84,17,1.0101,382.5431,OK
