instance,group,p,run,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,cs_observations,cs_active_clusters,cs_new_clusters,cs_center_updates,cs_po_triggers,cs_po_improvements,cs_po_total_gain,time_ils_s,time_total_s,status
lin318_005.txt,lin318,5,1,42,181992.4091,181992.4091,180281.2051,76,10,76,12,12,25,10,3,1046.7257,24.7708,24.8039,OK
lin318_005.txt,lin318,5,2,43,183718.2952,183718.2952,180298.4429,31,4,31,10,10,6,3,2,0.0000,0.8724,0.9090,OK
lin318_005.txt,lin318,5,3,44,181992.4091,181992.4091,180623.3198,36,3,36,11,11,7,4,1,0.0000,0.9356,0.9713,OK
lin318_005.txt,lin318,5,4,45,182733.3937,182733.3937,180359.4443,46,6,46,11,11,15,7,3,3765.1015,42.6667,42.6879,OK
lin318_005.txt,lin318,5,5,46,181992.4091,181992.4091,180282.3788,33,3,33,11,11,5,4,2,0.0000,1.8428,1.9026,OK
lin318_015.txt,lin318,15,1,42,103242.3603,97630.7216,89238.4187,35,12,35,12,12,11,4,3,87.0659,69.8055,70.5262,OK
lin318_015.txt,lin318,15,2,43,101012.6786,100635.0244,90403.0485,54,6,54,12,12,11,7,2,1512.4290,63.0945,63.2180,OK
lin318_015.txt,lin318,15,3,44,95792.4318,95792.4318,90475.6757,39,4,39,12,12,12,4,2,811.7368,63.9716,64.0977,OK
lin318_015.txt,lin318,15,4,45,93039.1079,93039.1079,88939.5716,51,11,51,12,12,13,7,3,566.7300,60.5368,60.6808,OK
lin318_015.txt,lin318,15,5,46,95064.9749,95064.9749,89205.9896,53,9,53,12,12,11,7,2,647.9761,32.0514,32.1273,OK
ali535_005.txt,ali535,5,1,42,10236.5366,9985.2059,9956.7698,50,6,50,12,12,11,6,0,0.0000,83.6207,83.9164,OK
ali535_005.txt,ali535,5,2,43,9956.7698,9956.7698,9956.7698,20,0,20,4,4,5,2,1,0.0000,34.6150,34.7003,OK
ali535_005.txt,ali535,5,3,44,11597.4870,11183.0686,9956.7698,23,2,23,8,8,4,2,1,0.0000,39.3947,39.7169,OK
ali535_005.txt,ali535,5,4,45,10047.5855,10004.4554,9956.7698,32,3,32,10,10,8,3,1,0.9716,56.1620,56.3385,OK
ali535_005.txt,ali535,5,5,46,10047.5855,10004.4554,9956.7698,36,4,36,9,9,7,4,1,2.8712,66.1961,66.3329,OK
u724_075.txt,u724,75,1,42,62243.5876,58159.1479,56171.6522,52,11,52,2,2,14,10,6,209.9616,120.8800,130.3423,OK
u724_075.txt,u724,75,2,43,62479.3560,58895.3548,57043.7991,38,9,38,4,4,9,6,0,0.0000,81.9457,89.2402,OK
u724_075.txt,u724,75,3,44,60482.0069,58419.6946,55828.8837,59,16,59,3,3,21,11,7,175.7008,121.4990,131.1922,OK
u724_075.txt,u724,75,4,45,61794.8699,59861.3679,56177.5021,56,15,56,3,3,16,11,3,735.4085,120.0543,126.1716,OK
u724_075.txt,u724,75,5,46,62443.5591,58607.1087,55751.0534,51,14,51,1,1,18,10,6,1023.1844,120.5742,131.7777,OK
rl1304_010.txt,rl1304,10,1,42,2240382.2565,2213873.7548,2161082.8802,40,13,40,12,12,15,5,4,3865.6421,300.2988,312.6605,OK
rl1304_010.txt,rl1304,10,2,43,2204928.7593,2202433.0871,2151582.1679,62,20,62,12,12,23,9,5,439.5979,303.9285,305.8960,OK
rl1304_010.txt,rl1304,10,3,44,2203450.5601,2176368.3325,2147995.2478,61,8,61,12,12,13,8,3,3452.0896,304.7932,309.5137,OK
rl1304_010.txt,rl1304,10,4,45,2200781.6309,2187021.3500,2156224.3907,58,8,58,12,12,11,9,2,253.4535,327.4968,331.0691,OK
rl1304_010.txt,rl1304,10,5,46,2252705.8345,2241188.6866,2148163.1633,60,22,60,12,12,16,8,4,424.8181,320.4653,328.6249,OK
